P,layout,run,ms,gbps
3,AoS,0,7.854626,546.81
3,AoS,1,7.862985,546.22
3,AoS,2,7.858125,546.56
3,AoS,3,7.854495,546.81
3,AoS,4,7.846874,547.35
3,AoS,5,7.847986,547.27
3,AoS,6,7.841985,547.69
3,AoS,7,7.871235,545.65
3,AoS,8,7.852405,546.96
3,AoS,9,7.847075,547.33
3,AoS,10,7.842726,547.63
3,AoS,11,7.865666,546.04
3,AoS,12,7.847045,547.33
3,AoS,13,7.864186,546.14
3,AoS,14,7.838495,547.93
3,AoS,15,7.865116,546.08
3,AoS,16,7.825204,548.86
3,AoS,17,7.852064,546.98
3,AoS,18,7.822296,549.07
3,AoS,19,7.846854,547.35
3,AoS,20,7.822175,549.07
3,AoS,21,7.841555,547.72
3,AoS,22,7.820755,549.17
3,AoS,23,7.824325,548.92
3,AoS,24,7.822565,549.05
3,AoS,25,7.831235,548.44
3,AoS,26,7.819925,549.23
3,AoS,27,7.823145,549.01
3,AoS,28,7.827294,548.71
3,AoS,29,7.818955,549.30
3,AoS,30,7.823594,548.97
3,AoS,31,7.817874,549.38
3,AoS,32,7.832135,548.38
3,AoS,33,7.818264,549.35
3,AoS,34,7.827075,548.73
3,AoS,35,7.835715,548.12
3,AoS,36,8.404418,511.03
3,AoS,37,7.817035,549.43
3,AoS,38,7.811015,549.86
3,AoS,39,7.804265,550.33
3,AoS,40,7.813975,549.65
3,AoS,41,7.807035,550.14
3,AoS,42,7.804654,550.31
3,AoS,43,7.807435,550.11
3,AoS,44,7.819324,549.27
3,AoS,45,7.812554,549.75
3,AoS,46,7.831516,548.42
3,AoS,47,7.809764,549.95
3,AoS,48,7.804645,550.31
3,AoS,49,7.814786,549.59
3,AoS,50,7.812315,549.77
3,AoS,51,7.807685,550.09
3,AoS,52,7.830456,548.49
3,AoS,53,7.808186,550.06
3,AoS,54,7.835066,548.17
3,AoS,55,7.808115,550.06
3,AoS,56,7.816076,549.50
3,AoS,57,7.803244,550.41
3,AoS,58,7.801174,550.55
3,AoS,59,7.808676,550.02
3,AoS,60,7.816154,549.50
3,AoS,61,7.806155,550.20
3,AoS,62,7.800596,550.59
3,AoS,63,7.748595,554.29
3,AoS,64,7.752385,554.02
3,AoS,65,7.744875,554.55
3,AoS,66,7.753844,553.91
3,AoS,67,7.791856,551.21
3,AoS,68,7.870675,545.69
3,AoS,69,7.829744,548.54
3,AoS,70,7.769255,552.81
3,AoS,71,7.745863,554.48
3,AoS,72,7.746555,554.43
3,AoS,73,7.789985,551.34
3,AoS,74,7.806364,550.19
3,AoS,75,7.806225,550.20
3,AoS,76,7.793615,551.09
3,AoS,77,7.807675,550.09
3,AoS,78,7.790855,551.28
3,AoS,79,7.797345,550.82
3,AoS,80,7.815134,549.57
3,AoS,81,7.773325,552.52
3,AoS,82,7.798414,550.75
3,AoS,83,7.780894,551.99
3,AoS,84,7.797885,550.78
3,AoS,85,7.778224,552.18
3,AoS,86,7.781915,551.91
3,AoS,87,7.801205,550.55
3,AoS,88,7.740355,554.88
3,AoS,89,7.741045,554.83
3,AoS,90,7.755864,553.77
3,AoS,91,7.803476,550.39
3,AoS,92,7.806745,550.16
3,AoS,93,7.802684,550.45
3,AoS,94,7.805055,550.28
3,AoS,95,7.819064,549.29
3,AoS,96,7.807604,550.10
3,AoS,97,7.812466,549.76
3,AoS,98,7.805384,550.25
3,AoS,99,7.819365,549.27
3,SoA,0,3.983963,1078.06
3,SoA,1,3.985972,1077.52
3,SoA,2,3.972334,1081.22
3,SoA,3,3.968792,1082.18
3,SoA,4,3.982893,1078.35
3,SoA,5,3.966614,1082.78
3,SoA,6,3.980003,1079.13
3,SoA,7,3.993534,1075.48
3,SoA,8,3.984742,1077.85
3,SoA,9,3.998284,1074.20
3,SoA,10,3.979363,1079.31
3,SoA,11,4.003023,1072.93
3,SoA,12,3.987143,1077.20
3,SoA,13,3.970452,1081.73
3,SoA,14,3.980603,1078.97
3,SoA,15,3.999083,1073.98
3,SoA,16,3.983484,1078.19
3,SoA,17,3.978793,1079.46
3,SoA,18,4.087173,1050.84
3,SoA,19,3.969293,1082.04
3,SoA,20,3.977513,1079.81
3,SoA,21,3.973332,1080.94
3,SoA,22,3.972442,1081.19
3,SoA,23,3.976953,1079.96
3,SoA,24,3.968593,1082.24
3,SoA,25,3.985443,1077.66
3,SoA,26,3.993042,1075.61
3,SoA,27,3.987363,1077.14
3,SoA,28,3.996904,1074.57
3,SoA,29,3.978052,1079.66
3,SoA,30,3.976874,1079.98
3,SoA,31,3.971932,1081.33
3,SoA,32,4.006114,1072.10
3,SoA,33,4.001584,1073.31
3,SoA,34,3.991592,1076.00
3,SoA,35,3.978263,1079.60
3,SoA,36,4.002632,1073.03
3,SoA,37,3.983444,1078.20
3,SoA,38,3.993073,1075.60
3,SoA,39,3.985633,1077.61
3,SoA,40,3.979243,1079.34
3,SoA,41,3.990123,1076.40
3,SoA,42,4.000433,1073.62
3,SoA,43,3.994143,1075.31
3,SoA,44,3.998182,1074.23
3,SoA,45,3.985922,1077.53
3,SoA,46,3.986583,1077.35
3,SoA,47,3.987132,1077.20
3,SoA,48,3.997284,1074.47
3,SoA,49,3.977192,1079.90
3,SoA,50,3.983304,1078.24
3,SoA,51,3.992804,1075.67
3,SoA,52,3.969882,1081.88
3,SoA,53,3.981234,1078.80
3,SoA,54,3.991912,1075.91
3,SoA,55,3.968314,1082.31
3,SoA,56,3.966593,1082.78
3,SoA,57,4.003703,1072.74
3,SoA,58,3.985153,1077.74
3,SoA,59,3.999062,1073.99
3,SoA,60,3.995753,1074.88
3,SoA,61,3.993522,1075.48
3,SoA,62,3.974992,1080.49
3,SoA,63,4.003193,1072.88
3,SoA,64,3.970893,1081.61
3,SoA,65,4.002982,1072.94
3,SoA,66,3.983193,1078.27
3,SoA,67,4.011033,1070.78
3,SoA,68,3.969832,1081.90
3,SoA,69,3.998954,1074.02
3,SoA,70,4.310454,996.40
3,SoA,71,3.990503,1076.29
3,SoA,72,3.982344,1078.50
3,SoA,73,4.006233,1072.07
3,SoA,74,3.980304,1079.05
3,SoA,75,3.988322,1076.88
3,SoA,76,3.987934,1076.99
3,SoA,77,3.996753,1074.61
3,SoA,78,3.990864,1076.20
3,SoA,79,3.981773,1078.65
3,SoA,80,4.001162,1073.43
3,SoA,81,3.991634,1075.99
3,SoA,82,3.997292,1074.47
3,SoA,83,3.980463,1079.01
3,SoA,84,3.995882,1074.84
3,SoA,85,3.978763,1079.47
3,SoA,86,3.993403,1075.51
3,SoA,87,3.978843,1079.45
3,SoA,88,3.995383,1074.98
3,SoA,89,3.964253,1083.42
3,SoA,90,4.002303,1073.12
3,SoA,91,3.980232,1079.07
3,SoA,92,3.986754,1077.31
3,SoA,93,3.981252,1078.79
3,SoA,94,3.992034,1075.88
3,SoA,95,3.977834,1079.72
3,SoA,96,3.978292,1079.60
3,SoA,97,3.962703,1083.84
3,SoA,98,3.981583,1078.70
3,SoA,99,4.009394,1071.22
3,AoSoA-2,0,7.863615,546.18
3,AoSoA-2,1,7.850476,547.09
3,AoSoA-2,2,7.851435,547.03
3,AoSoA-2,3,7.847125,547.33
3,AoSoA-2,4,7.876456,545.29
3,AoSoA-2,5,7.856636,546.67
3,AoSoA-2,6,7.867155,545.93
3,AoSoA-2,7,7.844755,547.49
3,AoSoA-2,8,7.849624,547.15
3,AoSoA-2,9,7.843604,547.57
3,AoSoA-2,10,7.852766,546.93
3,AoSoA-2,11,7.835145,548.16
3,AoSoA-2,12,7.852635,546.94
3,AoSoA-2,13,7.836336,548.08
3,AoSoA-2,14,7.849355,547.17
3,AoSoA-2,15,7.837435,548.00
3,AoSoA-2,16,7.855075,546.77
3,AoSoA-2,17,7.831205,548.44
3,AoSoA-2,18,7.860796,546.38
3,AoSoA-2,19,7.838825,547.91
3,AoSoA-2,20,7.856145,546.70
3,AoSoA-2,21,7.836874,548.04
3,AoSoA-2,22,7.836984,548.04
3,AoSoA-2,23,7.829186,548.58
3,AoSoA-2,24,7.829884,548.53
3,AoSoA-2,25,7.830605,548.48
3,AoSoA-2,26,7.827036,548.73
3,AoSoA-2,27,7.827375,548.71
3,AoSoA-2,28,7.833815,548.26
3,AoSoA-2,29,7.832535,548.35
3,AoSoA-2,30,7.831255,548.44
3,AoSoA-2,31,7.827465,548.70
3,AoSoA-2,32,7.833665,548.27
3,AoSoA-2,33,7.845774,547.42
3,AoSoA-2,34,7.831705,548.41
3,AoSoA-2,35,7.839465,547.86
3,AoSoA-2,36,7.837374,548.01
3,AoSoA-2,37,7.844016,547.54
3,AoSoA-2,38,7.881065,544.97
3,AoSoA-2,39,7.829685,548.55
3,AoSoA-2,40,7.833175,548.30
3,AoSoA-2,41,7.852585,546.95
3,AoSoA-2,42,7.839775,547.84
3,AoSoA-2,43,7.852916,546.92
3,AoSoA-2,44,7.831116,548.45
3,AoSoA-2,45,7.840536,547.79
3,AoSoA-2,46,7.831995,548.39
3,AoSoA-2,47,8.116216,529.18
3,AoSoA-2,48,7.835046,548.17
3,AoSoA-2,49,7.854894,546.79
3,AoSoA-2,50,7.836874,548.04
3,AoSoA-2,51,7.841525,547.72
3,AoSoA-2,52,7.843985,547.55
3,AoSoA-2,53,7.860356,546.41
3,AoSoA-2,54,7.848626,547.22
3,AoSoA-2,55,7.858185,546.56
3,AoSoA-2,56,7.853225,546.90
3,AoSoA-2,57,7.854245,546.83
3,AoSoA-2,58,7.843466,547.58
3,AoSoA-2,59,7.837776,547.98
3,AoSoA-2,60,7.850154,547.12
3,AoSoA-2,61,7.851785,547.00
3,AoSoA-2,62,7.851254,547.04
3,AoSoA-2,63,7.846724,547.36
3,AoSoA-2,64,7.860826,546.37
3,AoSoA-2,65,7.849384,547.17
3,AoSoA-2,66,7.912855,542.78
3,AoSoA-2,67,7.850425,547.10
3,AoSoA-2,68,7.846515,547.37
3,AoSoA-2,69,7.843486,547.58
3,AoSoA-2,70,7.847556,547.30
3,AoSoA-2,71,7.848465,547.23
3,AoSoA-2,72,7.858085,546.56
3,AoSoA-2,73,7.854765,546.80
3,AoSoA-2,74,7.856044,546.71
3,AoSoA-2,75,7.848705,547.22
3,AoSoA-2,76,7.866315,545.99
3,AoSoA-2,77,7.839424,547.87
3,AoSoA-2,78,7.856476,546.68
3,AoSoA-2,79,7.829895,548.53
3,AoSoA-2,80,7.853115,546.91
3,AoSoA-2,81,7.834755,548.19
3,AoSoA-2,82,7.866705,545.97
3,AoSoA-2,83,7.828506,548.63
3,AoSoA-2,84,7.833406,548.29
3,AoSoA-2,85,7.828445,548.63
3,AoSoA-2,86,7.833986,548.25
3,AoSoA-2,87,7.835235,548.16
3,AoSoA-2,88,7.838894,547.90
3,AoSoA-2,89,7.825275,548.86
3,AoSoA-2,90,7.840534,547.79
3,AoSoA-2,91,7.835824,548.12
3,AoSoA-2,92,7.826325,548.78
3,AoSoA-2,93,7.922305,542.13
3,AoSoA-2,94,8.187287,524.59
3,AoSoA-2,95,7.846546,547.37
3,AoSoA-2,96,7.828576,548.62
3,AoSoA-2,97,7.825616,548.83
3,AoSoA-2,98,7.840406,547.80
3,AoSoA-2,99,7.840385,547.80
3,AoSoA-4,0,7.866844,545.96
3,AoSoA-4,1,7.856024,546.71
3,AoSoA-4,2,7.881026,544.97
3,AoSoA-4,3,7.863854,546.16
3,AoSoA-4,4,7.882195,544.89
3,AoSoA-4,5,7.858975,546.50
3,AoSoA-4,6,7.864535,546.12
3,AoSoA-4,7,7.861216,546.35
3,AoSoA-4,8,7.843685,547.57
3,AoSoA-4,9,7.859785,546.45
3,AoSoA-4,10,7.876556,545.28
3,AoSoA-4,11,7.852336,546.96
3,AoSoA-4,12,7.864265,546.14
3,AoSoA-4,13,7.858515,546.53
3,AoSoA-4,14,7.873065,545.52
3,AoSoA-4,15,7.845104,547.47
3,AoSoA-4,16,7.852875,546.93
3,AoSoA-4,17,7.853964,546.85
3,AoSoA-4,18,7.853655,546.87
3,AoSoA-4,19,7.854185,546.84
3,AoSoA-4,20,7.867796,545.89
3,AoSoA-4,21,7.840466,547.79
3,AoSoA-4,22,7.873065,545.52
3,AoSoA-4,23,7.842615,547.64
3,AoSoA-4,24,7.868346,545.85
3,AoSoA-4,25,7.833225,548.30
3,AoSoA-4,26,7.870436,545.71
3,AoSoA-4,27,7.846465,547.37
3,AoSoA-4,28,7.868064,545.87
3,AoSoA-4,29,7.837255,548.02
3,AoSoA-4,30,7.859034,546.50
3,AoSoA-4,31,7.867695,545.90
3,AoSoA-4,32,7.850896,547.07
3,AoSoA-4,33,7.841895,547.69
3,AoSoA-4,34,7.840945,547.76
3,AoSoA-4,35,7.839395,547.87
3,AoSoA-4,36,7.855286,546.76
3,AoSoA-4,37,7.851535,547.02
3,AoSoA-4,38,7.842685,547.64
3,AoSoA-4,39,7.844905,547.48
3,AoSoA-4,40,7.841646,547.71
3,AoSoA-4,41,7.891425,544.26
3,AoSoA-4,42,7.840004,547.83
3,AoSoA-4,43,7.850276,547.11
3,AoSoA-4,44,7.849564,547.16
3,AoSoA-4,45,7.856985,546.64
3,AoSoA-4,46,7.846955,547.34
3,AoSoA-4,47,7.859715,546.45
3,AoSoA-4,48,7.840756,547.77
3,AoSoA-4,49,7.873655,545.48
3,AoSoA-4,50,7.844165,547.53
3,AoSoA-4,51,7.852926,546.92
3,AoSoA-4,52,7.854356,546.82
3,AoSoA-4,53,7.874014,545.46
3,AoSoA-4,54,7.850655,547.08
3,AoSoA-4,55,7.866385,545.99
3,AoSoA-4,56,7.864524,546.12
3,AoSoA-4,57,7.873216,545.51
3,AoSoA-4,58,7.843634,547.57
3,AoSoA-4,59,7.908295,543.09
3,AoSoA-4,60,7.844386,547.52
3,AoSoA-4,61,7.869835,545.75
3,AoSoA-4,62,7.856335,546.69
3,AoSoA-4,63,7.871126,545.66
3,AoSoA-4,64,7.856646,546.66
3,AoSoA-4,65,7.875416,545.36
3,AoSoA-4,66,7.849585,547.16
3,AoSoA-4,67,7.881106,544.97
3,AoSoA-4,68,7.849465,547.16
3,AoSoA-4,69,7.874724,545.41
3,AoSoA-4,70,7.847306,547.32
3,AoSoA-4,71,7.873834,545.47
3,AoSoA-4,72,7.854474,546.82
3,AoSoA-4,73,7.850586,547.09
3,AoSoA-4,74,7.855686,546.73
3,AoSoA-4,75,7.874655,545.41
3,AoSoA-4,76,7.858756,546.52
3,AoSoA-4,77,7.875696,545.34
3,AoSoA-4,78,7.847435,547.31
3,AoSoA-4,79,7.847565,547.30
3,AoSoA-4,80,7.849135,547.19
3,AoSoA-4,81,7.851096,547.05
3,AoSoA-4,82,7.860904,546.37
3,AoSoA-4,83,7.840604,547.78
3,AoSoA-4,84,7.851266,547.04
3,AoSoA-4,85,7.857684,546.59
3,AoSoA-4,86,7.853595,546.88
3,AoSoA-4,87,7.862025,546.29
3,AoSoA-4,88,7.852115,546.98
3,AoSoA-4,89,7.857586,546.60
3,AoSoA-4,90,7.851905,546.99
3,AoSoA-4,91,7.855735,546.73
3,AoSoA-4,92,7.869666,545.76
3,AoSoA-4,93,7.858986,546.50
3,AoSoA-4,94,7.874714,545.41
3,AoSoA-4,95,7.861545,546.32
3,AoSoA-4,96,7.877355,545.23
3,AoSoA-4,97,7.864585,546.11
3,AoSoA-4,98,7.837525,548.00
3,AoSoA-4,99,7.848764,547.21
3,AoSoA-8,0,6.433446,667.60
3,AoSoA-8,1,6.358816,675.43
3,AoSoA-8,2,6.284406,683.43
3,AoSoA-8,3,6.559948,654.72
3,AoSoA-8,4,6.527927,657.93
3,AoSoA-8,5,6.446026,666.29
3,AoSoA-8,6,6.480618,662.74
3,AoSoA-8,7,6.450998,665.78
3,AoSoA-8,8,6.466397,664.20
3,AoSoA-8,9,6.411196,669.91
3,AoSoA-8,10,6.543608,656.36
3,AoSoA-8,11,6.494307,661.34
3,AoSoA-8,12,6.440528,666.86
3,AoSoA-8,13,6.527047,658.02
3,AoSoA-8,14,6.385127,672.65
3,AoSoA-8,15,6.519187,658.82
3,AoSoA-8,16,6.453338,665.54
3,AoSoA-8,17,6.497428,661.02
3,AoSoA-8,18,6.501188,660.64
3,AoSoA-8,19,6.426406,668.33
3,AoSoA-8,20,6.447257,666.17
3,AoSoA-8,21,6.525388,658.19
3,AoSoA-8,22,6.455818,665.28
3,AoSoA-8,23,6.403826,670.69
3,AoSoA-8,24,6.493597,661.41
3,AoSoA-8,25,6.474348,663.38
3,AoSoA-8,26,6.496097,661.16
3,AoSoA-8,27,6.446048,666.29
3,AoSoA-8,28,6.455876,665.28
3,AoSoA-8,29,6.517707,658.97
3,AoSoA-8,30,6.392238,671.90
3,AoSoA-8,31,6.498948,660.87
3,AoSoA-8,32,6.516357,659.10
3,AoSoA-8,33,6.460626,664.79
3,AoSoA-8,34,6.351117,676.25
3,AoSoA-8,35,6.371337,674.11
3,AoSoA-8,36,6.470817,663.74
3,AoSoA-8,37,6.423286,668.65
3,AoSoA-8,38,6.378066,673.39
3,AoSoA-8,39,6.436707,667.26
3,AoSoA-8,40,6.399307,671.16
3,AoSoA-8,41,6.492757,661.50
3,AoSoA-8,42,6.380417,673.15
3,AoSoA-8,43,6.465406,664.30
3,AoSoA-8,44,6.471268,663.70
3,AoSoA-8,45,6.373097,673.92
3,AoSoA-8,46,6.426108,668.36
3,AoSoA-8,47,6.423616,668.62
3,AoSoA-8,48,6.438717,667.05
3,AoSoA-8,49,6.462377,664.61
3,AoSoA-8,50,6.388157,672.33
3,AoSoA-8,51,6.422147,668.77
3,AoSoA-8,52,6.460166,664.84
3,AoSoA-8,53,6.387328,672.42
3,AoSoA-8,54,6.548878,655.83
3,AoSoA-8,55,6.399897,671.10
3,AoSoA-8,56,6.435626,667.37
3,AoSoA-8,57,6.450987,665.78
3,AoSoA-8,58,6.458438,665.01
3,AoSoA-8,59,6.436447,667.29
3,AoSoA-8,60,6.478257,662.98
3,AoSoA-8,61,6.470846,663.74
3,AoSoA-8,62,6.574998,653.22
3,AoSoA-8,63,6.442757,666.63
3,AoSoA-8,64,6.512098,659.53
3,AoSoA-8,65,6.466987,664.13
3,AoSoA-8,66,6.384436,672.72
3,AoSoA-8,67,6.444397,666.46
3,AoSoA-8,68,6.574608,653.26
3,AoSoA-8,69,6.417067,669.30
3,AoSoA-8,70,6.477406,663.07
3,AoSoA-8,71,6.448398,666.05
3,AoSoA-8,72,6.289277,682.90
3,AoSoA-8,73,6.472687,663.55
3,AoSoA-8,74,6.474976,663.32
3,AoSoA-8,75,6.411517,669.88
3,AoSoA-8,76,6.470687,663.76
3,AoSoA-8,77,6.500648,660.70
3,AoSoA-8,78,6.401536,670.93
3,AoSoA-8,79,6.604388,650.32
3,AoSoA-8,80,6.511596,659.58
3,AoSoA-8,81,6.438707,667.05
3,AoSoA-8,82,6.446318,666.26
3,AoSoA-8,83,6.429368,668.02
3,AoSoA-8,84,6.485806,662.21
3,AoSoA-8,85,6.443237,666.58
3,AoSoA-8,86,6.443248,666.58
3,AoSoA-8,87,6.501048,660.66
3,AoSoA-8,88,6.424456,668.53
3,AoSoA-8,89,6.388076,672.34
3,AoSoA-8,90,6.516707,659.07
3,AoSoA-8,91,6.455617,665.30
3,AoSoA-8,92,6.420487,668.94
3,AoSoA-8,93,6.485757,662.21
3,AoSoA-8,94,6.577237,653.00
3,AoSoA-8,95,6.450058,665.88
3,AoSoA-8,96,6.483318,662.46
3,AoSoA-8,97,6.474027,663.41
3,AoSoA-8,98,6.399235,671.17
3,AoSoA-8,99,6.443357,666.57
3,AoSoA-16,0,5.399150,795.49
3,AoSoA-16,1,5.430532,790.89
3,AoSoA-16,2,5.410370,793.84
3,AoSoA-16,3,5.399662,795.41
3,AoSoA-16,4,5.415062,793.15
3,AoSoA-16,5,5.525981,777.23
3,AoSoA-16,6,5.463071,786.18
3,AoSoA-16,7,5.391762,796.58
3,AoSoA-16,8,5.355200,802.02
3,AoSoA-16,9,5.331181,805.63
3,AoSoA-16,10,5.579572,769.76
3,AoSoA-16,11,5.447531,788.42
3,AoSoA-16,12,5.455350,787.29
3,AoSoA-16,13,5.346462,803.33
3,AoSoA-16,14,5.331491,805.58
3,AoSoA-16,15,5.361780,801.03
3,AoSoA-16,16,5.469762,785.22
3,AoSoA-16,17,5.463551,786.11
3,AoSoA-16,18,5.515612,778.69
3,AoSoA-16,19,5.326830,806.29
3,AoSoA-16,20,5.330311,805.76
3,AoSoA-16,21,5.357459,801.68
3,AoSoA-16,22,5.341721,804.04
3,AoSoA-16,23,5.401552,795.13
3,AoSoA-16,24,5.354130,802.18
3,AoSoA-16,25,5.348341,803.04
3,AoSoA-16,26,5.350101,802.78
3,AoSoA-16,27,5.335851,804.92
3,AoSoA-16,28,5.336490,804.83
3,AoSoA-16,29,5.371742,799.55
3,AoSoA-16,30,5.334540,805.12
3,AoSoA-16,31,5.300870,810.24
3,AoSoA-16,32,5.324321,806.67
3,AoSoA-16,33,5.320191,807.29
3,AoSoA-16,34,5.349359,802.89
3,AoSoA-16,35,5.318881,807.49
3,AoSoA-16,36,5.324330,806.67
3,AoSoA-16,37,5.320361,807.27
3,AoSoA-16,38,5.329580,805.87
3,AoSoA-16,39,5.318580,807.54
