P,layout,run,ms,gbps
3,AoS,0,12.775883,672.35
3,AoS,1,12.758195,673.29
3,AoS,2,12.772274,672.54
3,AoS,3,12.765033,672.92
3,AoS,4,12.971245,662.23
3,AoS,5,12.739214,674.29
3,AoS,6,12.730875,674.73
3,AoS,7,12.760025,673.19
3,AoS,8,12.770734,672.62
3,AoS,9,12.833574,669.33
3,AoS,10,12.809984,670.56
3,AoS,11,12.737023,674.40
3,AoS,12,12.743594,674.06
3,AoS,13,12.760024,673.19
3,AoS,14,12.724894,675.05
3,AoS,15,12.760073,673.19
3,AoS,16,12.766003,672.87
3,AoS,17,12.738073,674.35
3,AoS,18,12.734164,674.56
3,AoS,19,12.760565,673.16
3,AoS,20,12.728945,674.83
3,AoS,21,12.734154,674.56
3,AoS,22,12.753433,673.54
3,AoS,23,12.733294,674.60
3,AoS,24,12.731044,674.72
3,AoS,25,12.760115,673.18
3,AoS,26,12.736964,674.41
3,AoS,27,12.763204,673.02
3,AoS,28,12.769953,672.67
3,AoS,29,12.745413,673.96
3,AoS,30,12.749804,673.73
3,AoS,31,12.767205,672.81
3,AoS,32,12.734074,674.56
3,AoS,33,12.740444,674.22
3,AoS,34,12.768203,672.76
3,AoS,35,12.754313,673.49
3,AoS,36,12.757254,673.33
3,AoS,37,12.760144,673.18
3,AoS,38,12.776555,672.32
3,AoS,39,12.728654,674.85
3,AoS,40,12.746844,673.88
3,AoS,41,12.768774,672.73
3,AoS,42,12.741514,674.17
3,AoS,43,12.764445,672.96
3,AoS,44,12.867406,667.57
3,AoS,45,12.742555,674.11
3,AoS,46,12.740974,674.20
3,AoS,47,12.775703,672.36
3,AoS,48,12.746763,673.89
3,AoS,49,12.755844,673.41
3,AoS,50,12.781285,672.07
3,AoS,51,12.747364,673.86
3,AoS,52,12.764205,672.97
3,AoS,53,12.775905,672.35
3,AoS,54,12.738864,674.31
3,AoS,55,12.769773,672.67
3,AoS,56,12.776084,672.34
3,AoS,57,12.751574,673.63
3,AoS,58,12.768234,672.76
3,AoS,59,12.750344,673.70
3,AoS,60,12.776555,672.32
3,AoS,61,12.763474,673.01
3,AoS,62,12.749414,673.75
3,AoS,63,12.778173,672.23
3,AoS,64,12.751363,673.65
3,AoS,65,12.762664,673.05
3,AoS,66,12.761555,673.11
3,AoS,67,12.744645,674.00
3,AoS,68,12.769244,672.70
3,AoS,69,12.777643,672.26
3,AoS,70,12.747653,673.84
3,AoS,71,12.744304,674.02
3,AoS,72,12.865495,667.67
3,AoS,73,12.746975,673.88
3,AoS,74,12.738134,674.35
3,AoS,75,12.755484,673.43
3,AoS,76,12.759114,673.24
3,AoS,77,12.749564,673.74
3,AoS,78,12.781915,672.04
3,AoS,79,12.983896,661.58
3,AoS,80,12.774885,672.41
3,AoS,81,12.738123,674.35
3,AoS,82,12.756043,673.40
3,AoS,83,12.743303,674.07
3,AoS,84,12.730274,674.76
3,AoS,85,12.773615,672.47
3,AoS,86,13.028676,659.31
3,AoS,87,12.730113,674.77
3,AoS,88,12.840954,668.95
3,AoS,89,12.758083,673.29
3,AoS,90,12.790774,671.57
3,AoS,91,13.032236,659.13
3,AoS,92,12.751234,673.65
3,AoS,93,12.738644,674.32
3,AoS,94,12.763784,672.99
3,AoS,95,12.912304,665.25
3,AoS,96,12.736713,674.42
