P,layout,run,ms,gbps
3,AoS,0,3.202060,2682.63
3,AoS,1,3.262261,2633.12
3,AoS,2,3.201061,2683.46
3,AoS,3,3.705904,2317.90
3,AoS,4,3.389342,2534.40
3,AoS,5,3.354102,2561.02
3,AoS,6,3.518783,2441.17
3,AoS,7,3.406422,2521.69
3,AoS,8,3.277461,2620.91
3,AoS,9,3.070980,2797.13
3,AoS,10,3.611103,2378.76
3,AoS,11,3.052260,2814.29
3,AoS,12,3.287941,2612.56
3,AoS,13,3.501103,2453.49
3,AoS,14,3.465103,2478.98
3,AoS,15,2.969099,2893.11
3,AoS,16,3.594943,2389.45
3,AoS,17,3.543583,2424.08
3,AoS,18,3.003697,2859.79
3,AoS,19,3.746102,2293.03
3,AoS,20,3.396740,2528.88
3,AoS,21,3.298460,2604.23
3,AoS,22,3.469861,2475.58
3,AoS,23,3.287620,2612.81
3,AoS,24,3.130418,2744.02
3,AoS,25,3.125219,2748.59
3,AoS,26,3.976424,2160.22
3,AoS,27,3.141579,2734.27
3,AoS,28,3.465141,2478.96
3,AoS,29,3.533741,2430.83
3,AoS,30,3.310660,2594.63
3,AoS,31,3.425540,2507.61
3,AoS,32,3.328220,2580.94
3,AoS,33,3.316740,2589.87
3,AoS,34,3.180579,2700.74
3,AoS,35,3.693542,2325.66
3,AoS,36,3.414141,2515.99
3,AoS,37,3.355260,2560.14
3,AoS,38,3.414980,2515.37
3,AoS,39,3.204219,2680.82
3,AoS,40,3.361060,2555.72
3,AoS,41,3.666022,2343.12
3,AoS,42,3.325940,2582.71
3,AoS,43,3.295140,2606.85
3,AoS,44,3.273620,2623.99
3,AoS,45,3.099858,2771.07
3,AoS,46,3.638901,2360.58
3,AoS,47,3.520342,2440.08
3,AoS,48,3.208299,2677.41
3,AoS,49,3.485421,2464.53
3,AoS,50,3.060419,2806.78
3,AoS,51,3.713182,2313.36
3,AoS,52,3.378500,2542.53
3,AoS,53,3.380260,2541.20
3,AoS,54,3.164579,2714.40
3,AoS,55,3.314100,2591.94
3,AoS,56,3.683703,2331.87
3,AoS,57,2.968898,2893.31
3,AoS,58,3.536823,2428.71
3,AoS,59,3.651903,2352.18
3,AoS,60,3.303421,2600.31
3,AoS,61,3.168820,2710.77
3,AoS,62,3.402981,2524.24
3,AoS,63,3.398342,2527.68
3,AoS,64,3.486262,2463.94
3,AoS,65,3.192820,2690.39
3,AoS,66,3.655583,2349.81
3,AoS,67,3.566463,2408.53
3,AoS,68,3.345621,2567.52
3,AoS,69,3.145780,2730.62
3,AoS,70,3.396142,2529.32
3,AoS,71,3.510022,2447.26
3,AoS,72,3.295421,2606.63
3,AoS,73,3.181380,2700.06
3,AoS,74,3.454782,2486.39
3,AoS,75,3.383421,2538.83
3,AoS,76,3.237820,2653.00
3,AoS,77,3.482902,2466.31
3,AoS,78,3.183820,2698.00
3,AoS,79,3.271501,2625.69
3,AoS,80,3.445621,2493.00
3,AoS,81,3.467382,2477.35
3,AoS,82,3.013299,2850.67
3,AoS,83,3.587383,2394.48
3,AoS,84,3.381781,2540.06
3,AoS,85,3.421782,2510.37
3,AoS,86,3.235540,2654.87
3,AoS,87,3.444982,2493.46
3,AoS,88,3.473262,2473.16
3,AoS,89,3.064179,2803.34
3,AoS,90,3.665903,2343.20
3,AoS,91,3.319901,2587.41
3,AoS,92,3.590742,2392.24
3,AoS,93,3.230501,2659.01
3,AoS,94,3.081498,2787.58
3,AoS,95,3.313620,2592.31
3,AoS,96,3.689902,2327.96
3,AoS,97,2.983298,2879.34
3,AoS,98,3.394540,2530.51
3,AoS,99,3.404501,2523.11
3,SoA,0,2.671717,3215.14
3,SoA,1,2.716056,3162.65
3,SoA,2,2.710037,3169.67
3,SoA,3,2.671716,3215.14
3,SoA,4,2.713697,3165.40
3,SoA,5,2.682576,3202.12
3,SoA,6,2.756927,3115.76
3,SoA,7,2.716667,3161.94
3,SoA,8,2.738436,3136.80
3,SoA,9,2.938218,2923.52
3,SoA,10,2.764197,3107.57
3,SoA,11,2.720527,3157.45
3,SoA,12,2.670306,3216.83
3,SoA,13,3.007139,2856.51
3,SoA,14,2.749567,3124.10
3,SoA,15,2.690047,3193.23
3,SoA,16,2.706127,3174.25
3,SoA,17,2.989459,2873.41
3,SoA,18,2.738517,3136.71
3,SoA,19,2.735387,3140.30
