P,layout,run,ms,gbps
3,AoS,0,12.041092,713.38
3,AoS,1,12.012005,715.11
3,AoS,2,11.970997,717.56
3,AoS,3,11.898994,721.90
3,AoS,4,11.917830,720.76
3,AoS,5,12.840033,669.00
3,AoS,6,11.879921,723.06
3,AoS,7,11.842966,725.32
3,AoS,8,11.881113,722.99
3,AoS,9,11.940002,719.42
3,AoS,10,11.897087,722.02
3,AoS,11,11.902094,721.72
3,AoS,12,11.893988,722.21
3,AoS,13,11.847019,725.07
3,AoS,14,12.383938,693.63
3,AoS,15,11.893988,722.21
3,AoS,16,11.848927,724.95
3,AoS,17,12.218952,703.00
3,AoS,18,11.861086,724.21
3,AoS,19,11.893034,722.27
3,AoS,20,16.546965,519.12
3,AoS,21,11.850119,724.88
3,AoS,22,11.828899,726.18
3,AoS,23,11.831045,726.05
3,AoS,24,11.839151,725.55
3,AoS,25,11.848927,724.95
3,AoS,26,11.802912,727.78
3,AoS,27,11.792898,728.40
3,AoS,28,12.758017,673.30
3,AoS,29,11.874914,723.37
3,AoS,30,11.833906,725.87
3,AoS,31,17.568827,488.93
3,AoS,32,11.792898,728.40
3,AoS,33,12.987852,661.38
3,AoS,34,11.760950,730.38
3,AoS,35,11.753082,730.87
3,AoS,36,11.762142,730.30
3,AoS,37,11.769772,729.83
3,AoS,38,14.422178,595.61
3,AoS,39,11.759996,730.44
3,AoS,40,11.778116,729.31
3,AoS,41,11.755943,730.69
3,AoS,42,11.734009,732.05
3,AoS,43,11.700869,734.13
3,AoS,44,11.739016,731.74
3,AoS,45,11.747122,731.24
3,AoS,46,12.746096,673.93
3,AoS,47,11.726141,732.55
3,AoS,48,11.709929,733.56
3,AoS,49,11.751175,730.98
3,AoS,50,11.697054,734.37
3,AoS,51,11.660099,736.69
3,AoS,52,11.679888,735.45
3,AoS,53,11.693001,734.62
3,AoS,54,13.001919,660.67
3,AoS,55,11.746168,731.30
3,AoS,56,11.728048,732.43
3,AoS,57,11.691093,734.74
3,AoS,58,12.753010,673.56
3,AoS,59,11.719942,732.93
3,AoS,60,12.152910,706.82
3,AoS,61,14.835835,579.00
3,AoS,62,11.669874,736.08
3,AoS,63,11.702061,734.05
3,AoS,64,11.665821,736.33
3,AoS,65,11.692047,734.68
3,AoS,66,11.672020,735.94
3,AoS,67,11.672020,735.94
3,AoS,68,11.684179,735.18
3,AoS,69,13.825178,621.32
3,AoS,70,11.656046,736.95
3,AoS,71,11.716127,733.17
3,AoS,72,11.662006,736.57
3,AoS,73,11.660099,736.69
3,AoS,74,11.674166,735.81
3,AoS,75,11.682987,735.25
3,AoS,76,16.474962,521.39
3,AoS,77,11.698008,734.31
3,AoS,78,11.670113,736.06
3,AoS,79,11.658192,736.81
3,AoS,80,11.682987,735.25
3,AoS,81,11.661053,736.63
3,AoS,82,11.695862,734.44
3,AoS,83,16.663074,515.51
3,AoS,84,11.667967,736.20
3,AoS,85,11.722088,732.80
3,AoS,86,11.693001,734.62
3,AoS,87,11.666059,736.32
3,AoS,88,11.679888,735.45
3,AoS,89,11.687994,734.94
3,AoS,90,11.711121,733.48
3,AoS,91,14.205217,604.70
3,AoS,92,11.716127,733.17
3,AoS,93,11.906147,721.47
3,AoS,94,11.652946,737.15
3,AoS,95,11.722088,732.80
3,AoS,96,11.713982,733.31
3,AoS,97,13.754129,624.53
3,AoS,98,13.195992,650.95
3,AoS,99,11.681080,735.37
3,SoA,0,6.252050,1373.94
3,SoA,1,6.257772,1372.68
3,SoA,2,6.243944,1375.72
3,SoA,3,6.229877,1378.83
3,SoA,4,7.492065,1146.54
3,SoA,5,6.222010,1380.57
3,SoA,6,6.469965,1327.66
3,SoA,7,6.268024,1370.44
3,SoA,8,6.237984,1377.04
3,SoA,9,10.968924,783.11
3,SoA,10,6.222010,1380.57
3,SoA,11,6.172895,1391.56
