P,layout,run,ms,gbps
3,AoS,0,9.592056,1791.05
3,AoS,1,10.351181,1659.70
3,AoS,2,9.782076,1756.26
3,AoS,3,9.768009,1758.79
3,AoS,4,10.355949,1658.94
3,AoS,5,10.236025,1678.37
3,AoS,6,10.008097,1716.60
3,AoS,7,9.999990,1717.99
3,AoS,8,10.092020,1702.32
3,AoS,9,10.198832,1684.49
3,AoS,10,9.768009,1758.79
3,AoS,11,9.831905,1747.36
3,AoS,12,9.781122,1756.43
3,AoS,13,10.046005,1710.12
3,AoS,14,12.827873,1339.26
3,AoS,15,9.963036,1724.36
3,AoS,16,10.087013,1703.17
3,AoS,17,9.767056,1758.96
3,AoS,18,10.087013,1703.17
3,AoS,19,10.040998,1710.97
3,AoS,20,9.966135,1723.82
3,AoS,21,17.428875,985.71
3,AoS,22,9.993792,1719.05
3,AoS,23,10.205984,1683.31
3,AoS,24,9.884119,1738.13
3,AoS,25,10.183096,1687.10
3,AoS,26,10.058880,1707.93
3,AoS,27,9.812117,1750.88
3,AoS,28,9.647131,1780.83
3,AoS,29,9.805918,1751.99
3,AoS,30,10.245085,1676.89
3,AoS,31,10.350943,1659.74
3,AoS,32,10.272026,1672.49
3,AoS,33,9.866953,1741.15
3,AoS,34,9.794950,1753.95
3,AoS,35,10.145903,1693.28
3,AoS,36,10.117054,1698.11
3,AoS,37,10.231018,1679.19
3,AoS,38,10.362148,1657.94
3,AoS,39,10.395050,1652.70
3,AoS,40,9.980917,1721.27
3,AoS,41,9.915113,1732.69
3,AoS,42,9.814978,1750.37
3,AoS,43,12.592077,1364.34
3,AoS,44,9.966850,1723.70
3,AoS,45,9.933949,1729.41
3,AoS,46,10.218859,1681.19
3,AoS,47,10.230780,1679.23
3,AoS,48,9.969950,1723.16
3,AoS,49,10.281086,1671.02
3,AoS,50,16.144037,1064.16
3,AoS,51,9.854078,1743.43
3,AoS,52,10.020018,1714.55
3,AoS,53,10.005951,1716.96
3,AoS,54,10.063887,1707.08
3,AoS,55,9.966135,1723.82
3,AoS,56,10.155916,1691.61
3,AoS,57,10.329008,1663.26
3,AoS,58,10.011911,1715.94
3,AoS,59,10.446072,1644.62
3,AoS,60,10.131121,1695.75
3,AoS,61,9.779930,1756.64
3,AoS,62,9.793997,1754.12
3,AoS,63,9.677172,1775.30
3,AoS,64,9.974957,1722.30
3,AoS,65,10.126829,1696.47
3,AoS,66,9.647131,1780.83
3,AoS,67,10.140896,1694.12
3,AoS,68,10.067940,1706.39
3,AoS,69,9.901047,1735.16
3,AoS,70,10.101080,1700.79
3,AoS,71,13.167858,1304.68
3,AoS,72,10.004997,1717.13
3,AoS,73,10.020018,1714.55
3,AoS,74,10.077953,1704.70
3,AoS,75,9.711981,1768.93
3,AoS,76,10.094166,1701.96
3,AoS,77,10.216951,1681.50
3,AoS,78,16.181946,1061.67
3,AoS,79,9.937048,1728.87
3,AoS,80,10.216951,1681.50
