P,layout,run,ms,gbps
3,AoS,0,0.713888,1504.07
3,AoS,1,0.708384,1515.76
3,AoS,2,0.703872,1525.48
3,AoS,3,0.709728,1512.89
3,AoS,4,0.708896,1514.67
3,AoS,5,0.703328,1526.66
3,AoS,6,0.700192,1533.49
3,AoS,7,0.710368,1511.53
3,AoS,8,0.708896,1514.67
3,AoS,9,0.705440,1522.09
3,AoS,10,0.704224,1524.71
3,AoS,11,0.703840,1525.55
3,AoS,12,0.707648,1517.34
3,AoS,13,0.705312,1522.36
3,AoS,14,0.709216,1513.98
3,AoS,15,0.706752,1519.26
3,AoS,16,0.706208,1520.43
3,AoS,17,0.710016,1512.28
3,AoS,18,0.707040,1518.64
3,AoS,19,0.700320,1533.21
3,AoS,20,0.701152,1531.40
3,AoS,21,0.706816,1519.12
3,AoS,22,0.705248,1522.50
3,AoS,23,0.701600,1530.42
3,AoS,24,0.700576,1532.65
3,AoS,25,0.702432,1528.60
3,AoS,26,0.707264,1518.16
3,AoS,27,0.704576,1523.95
3,AoS,28,0.705024,1522.98
3,AoS,29,0.705984,1520.91
3,AoS,30,0.704416,1524.30
3,AoS,31,0.707104,1518.50
3,AoS,32,0.703296,1526.73
3,AoS,33,0.704160,1524.85
3,AoS,34,0.701824,1529.93
3,AoS,35,0.703424,1526.45
3,AoS,36,0.707712,1517.20
3,AoS,37,0.704288,1524.58
3,AoS,38,0.702880,1527.63
3,AoS,39,0.702368,1528.74
3,AoS,40,0.706240,1520.36
3,AoS,41,0.705728,1521.47
3,AoS,42,0.705024,1522.98
3,AoS,43,0.705120,1522.78
3,AoS,44,0.699456,1535.11
3,AoS,45,0.705696,1521.53
3,AoS,46,0.706784,1519.19
3,AoS,47,0.705600,1521.74
3,AoS,48,0.704224,1524.71
3,AoS,49,0.705696,1521.53
3,AoS,50,0.711072,1510.03
3,AoS,51,0.703968,1525.27
3,AoS,52,0.709024,1514.39
3,AoS,53,0.704448,1524.23
3,AoS,54,0.702720,1527.98
3,AoS,55,0.704032,1525.13
3,AoS,56,0.705888,1521.12
3,AoS,57,0.705600,1521.74
3,AoS,58,0.710016,1512.28
3,AoS,59,0.698880,1536.37
3,AoS,60,0.712736,1506.51
3,AoS,61,0.700032,1533.85
3,AoS,62,0.703136,1527.07
3,AoS,63,0.704224,1524.71
3,AoS,64,0.698688,1536.80
3,AoS,65,0.711680,1508.74
3,AoS,66,0.704640,1523.81
3,AoS,67,0.707296,1518.09
3,AoS,68,0.706944,1518.85
3,AoS,69,0.709696,1512.96
3,AoS,70,0.704864,1523.33
3,AoS,71,0.703168,1527.00
3,AoS,72,0.701216,1531.26
3,AoS,73,0.707488,1517.68
3,AoS,74,0.702400,1528.67
3,AoS,75,0.704864,1523.33
3,AoS,76,0.708000,1516.58
3,AoS,77,0.701120,1531.47
3,AoS,78,0.703584,1526.10
3,AoS,79,0.702400,1528.67
3,AoS,80,0.704032,1525.13
3,AoS,81,0.698496,1537.22
3,AoS,82,0.700192,1533.49
3,AoS,83,0.703904,1525.41
3,AoS,84,0.704096,1524.99
3,AoS,85,0.703936,1525.34
3,AoS,86,0.707520,1517.61
3,AoS,87,0.701952,1529.65
3,AoS,88,0.707072,1518.57
3,AoS,89,0.707328,1518.02
3,AoS,90,0.711584,1508.94
3,AoS,91,0.710432,1511.39
3,AoS,92,0.707904,1516.79
3,AoS,93,0.707712,1517.20
3,AoS,94,0.709184,1514.05
3,AoS,95,0.705984,1520.91
3,AoS,96,0.702848,1527.70
3,AoS,97,0.705504,1521.95
3,AoS,98,0.706432,1519.95
3,AoS,99,0.701184,1531.33
3,SoA,0,0.313632,3423.57
3,SoA,1,0.312864,3431.97
3,SoA,2,0.313952,3420.08
3,SoA,3,0.314752,3411.39
3,SoA,4,0.313056,3429.87
3,SoA,5,0.314752,3411.39
3,SoA,6,0.313536,3424.62
3,SoA,7,0.313728,3422.52
3,SoA,8,0.312064,3440.77
3,SoA,9,0.313856,3421.13
3,SoA,10,0.314912,3409.65
3,SoA,11,0.312960,3430.92
3,SoA,12,0.311872,3442.89
3,SoA,13,0.311904,3442.54
3,SoA,14,0.312832,3432.32
3,SoA,15,0.312736,3433.38
3,SoA,16,0.311872,3442.89
3,SoA,17,0.311904,3442.54
3,SoA,18,0.314976,3408.96
3,SoA,19,0.313472,3425.32
3,SoA,20,0.313248,3427.77
3,SoA,21,0.312128,3440.07
3,SoA,22,0.313824,3421.47
3,SoA,23,0.313280,3427.42
3,SoA,24,0.312000,3441.48
3,SoA,25,0.312256,3438.66
3,SoA,26,0.311936,3442.18
3,SoA,27,0.315392,3404.46
3,SoA,28,0.312448,3436.54
3,SoA,29,0.311968,3441.83
3,SoA,30,0.313536,3424.62
3,SoA,31,0.312800,3432.68
3,SoA,32,0.311872,3442.89
3,SoA,33,0.312032,3441.12
3,SoA,34,0.312128,3440.07
3,SoA,35,0.313440,3425.67
3,SoA,36,0.312160,3439.71
3,SoA,37,0.313440,3425.67
3,SoA,38,0.312096,3440.42
3,SoA,39,0.313376,3426.37
3,SoA,40,0.313408,3426.02
3,SoA,41,0.312128,3440.07
3,SoA,42,0.312096,3440.42
3,SoA,43,0.313600,3423.92
3,SoA,44,0.314592,3413.12
3,SoA,45,0.312160,3439.71
3,SoA,46,0.311904,3442.54
3,SoA,47,0.313344,3426.72
3,SoA,48,0.313504,3424.97
3,SoA,49,0.315072,3407.92
3,SoA,50,0.312160,3439.71
3,SoA,51,0.313600,3423.92
3,SoA,52,0.313088,3429.52
3,SoA,53,0.313536,3424.62
3,SoA,54,0.314176,3417.64
3,SoA,55,0.313216,3428.12
3,SoA,56,0.312064,3440.77
3,SoA,57,0.312960,3430.92
3,SoA,58,0.313920,3420.43
3,SoA,59,0.313888,3420.78
3,SoA,60,0.311968,3441.83
3,SoA,61,0.314208,3417.29
3,SoA,62,0.313056,3429.87
3,SoA,63,0.316320,3394.48
3,SoA,64,0.312768,3433.03
3,SoA,65,0.311904,3442.54
