P,layout,run,ms,gbps
3,AoS,0,1.243872,1726.45
3,AoS,1,1.240416,1731.26
3,AoS,2,1.243552,1726.89
3,AoS,3,1.242624,1728.18
3,AoS,4,1.243008,1727.65
3,AoS,5,1.243520,1726.94
3,AoS,6,1.244672,1725.34
3,AoS,7,1.245888,1723.66
3,AoS,8,1.243648,1726.76
3,AoS,9,1.245248,1724.54
3,AoS,10,1.243520,1726.94
3,AoS,11,1.245248,1724.54
3,AoS,12,1.242432,1728.45
3,AoS,13,1.243488,1726.98
3,AoS,14,1.243456,1727.03
3,AoS,15,1.243424,1727.07
3,AoS,16,1.244448,1725.65
3,AoS,17,1.246144,1723.30
3,AoS,18,1.240928,1730.54
3,AoS,19,1.244800,1725.16
3,AoS,20,1.241472,1729.79
3,AoS,21,1.241920,1729.16
3,AoS,22,1.243968,1726.32
3,AoS,23,1.242720,1728.05
3,AoS,24,1.242880,1727.83
3,AoS,25,1.244256,1725.92
3,AoS,26,1.240032,1731.80
3,AoS,27,1.241088,1730.32
3,AoS,28,1.243296,1727.25
3,AoS,29,1.243616,1726.80
3,AoS,30,1.243136,1727.47
3,AoS,31,1.242400,1728.49
3,AoS,32,1.241952,1729.12
3,AoS,33,1.244672,1725.34
3,AoS,34,1.241760,1729.39
3,AoS,35,1.241248,1730.10
3,AoS,36,1.241152,1730.23
3,AoS,37,1.241696,1729.47
3,AoS,38,1.241920,1729.16
3,AoS,39,1.243040,1727.60
3,AoS,40,1.246336,1723.04
3,AoS,41,1.245088,1724.76
3,AoS,42,1.241728,1729.43
3,AoS,43,1.241216,1730.14
3,AoS,44,1.239104,1733.09
3,AoS,45,1.243168,1727.43
3,AoS,46,1.244832,1725.12
3,AoS,47,1.243968,1726.32
3,AoS,48,1.244352,1725.78
3,AoS,49,1.242784,1727.96
3,AoS,50,1.240512,1731.13
3,AoS,51,1.244992,1724.90
3,AoS,52,1.242880,1727.83
3,AoS,53,1.241664,1729.52
3,AoS,54,1.240096,1731.71
3,AoS,55,1.244416,1725.69
3,AoS,56,1.242944,1727.74
3,AoS,57,1.244704,1725.29
3,AoS,58,1.241728,1729.43
3,AoS,59,1.244992,1724.90
3,AoS,60,1.242752,1728.01
3,AoS,61,1.242400,1728.49
3,AoS,62,1.244736,1725.25
3,AoS,63,1.240896,1730.59
3,AoS,64,1.241888,1729.21
3,AoS,65,1.242816,1727.92
3,AoS,66,1.246944,1722.20
3,AoS,67,1.243072,1727.56
3,AoS,68,1.241504,1729.74
3,AoS,69,1.243232,1727.34
3,AoS,70,1.244896,1725.03
3,AoS,71,1.245376,1724.36
3,AoS,72,1.242784,1727.96
3,AoS,73,1.242464,1728.41
3,AoS,74,1.239168,1733.00
3,AoS,75,1.242592,1728.23
3,AoS,76,1.243008,1727.65
3,AoS,77,1.242304,1728.63
3,AoS,78,1.242912,1727.78
3,AoS,79,1.244480,1725.61
3,AoS,80,1.242720,1728.05
3,AoS,81,1.242912,1727.78
3,AoS,82,1.240416,1731.26
3,AoS,83,1.246016,1723.48
3,AoS,84,1.244992,1724.90
3,AoS,85,1.240672,1730.90
3,AoS,86,1.243936,1726.36
3,AoS,87,1.241856,1729.25
3,AoS,88,1.243456,1727.03
3,AoS,89,1.242688,1728.09
3,AoS,90,1.243040,1727.60
3,AoS,91,1.242624,1728.18
3,AoS,92,1.244000,1726.27
3,AoS,93,1.243968,1726.32
3,AoS,94,1.243712,1726.67
3,AoS,95,1.246624,1722.64
3,AoS,96,1.242080,1728.94
3,AoS,97,1.241952,1729.12
3,AoS,98,1.244064,1726.18
3,AoS,99,1.241376,1729.92
3,SoA,0,0.608288,3530.37
3,SoA,1,0.610048,3520.18
3,SoA,2,0.607808,3533.16
3,SoA,3,0.609600,3522.77
3,SoA,4,0.608512,3529.07
3,SoA,5,0.609024,3526.10
3,SoA,6,0.608320,3530.18
3,SoA,7,0.609440,3523.70
3,SoA,8,0.607584,3534.46
3,SoA,9,0.606912,3538.37
3,SoA,10,0.609120,3525.55
3,SoA,11,0.608832,3527.22
3,SoA,12,0.606976,3538.00
3,SoA,13,0.608832,3527.22
3,SoA,14,0.606816,3538.93
3,SoA,15,0.606336,3541.74
3,SoA,16,0.608128,3531.30
3,SoA,17,0.608384,3529.81
3,SoA,18,0.609568,3522.96
3,SoA,19,0.608032,3531.86
3,SoA,20,0.606624,3540.05
3,SoA,21,0.607968,3532.23
3,SoA,22,0.609216,3524.99
3,SoA,23,0.608704,3527.96
3,SoA,24,0.608704,3527.96
3,SoA,25,0.607424,3535.39
3,SoA,26,0.608032,3531.86
3,SoA,27,0.609280,3524.62
3,SoA,28,0.609056,3525.92
3,SoA,29,0.606560,3540.43
3,SoA,30,0.609376,3524.07
3,SoA,31,0.606848,3538.75
3,SoA,32,0.607264,3536.32
3,SoA,33,0.610208,3519.26
3,SoA,34,0.609568,3522.96
3,SoA,35,0.608448,3529.44
3,SoA,36,0.605728,3545.29
3,SoA,37,0.607552,3534.65
3,SoA,38,0.608000,3532.04
3,SoA,39,0.608672,3528.14
3,SoA,40,0.607520,3534.83
3,SoA,41,0.608768,3527.59
3,SoA,42,0.608864,3527.03
3,SoA,43,0.604640,3551.67
3,SoA,44,0.607424,3535.39
3,SoA,45,0.607136,3537.07
3,SoA,46,0.608128,3531.30
3,SoA,47,0.607744,3533.53
3,SoA,48,0.609184,3525.18
3,SoA,49,0.608096,3531.48
3,SoA,50,0.608352,3530.00
3,SoA,51,0.607872,3532.79
3,SoA,52,0.609760,3521.85
3,SoA,53,0.608512,3529.07
3,SoA,54,0.607648,3534.09
3,SoA,55,0.609120,3525.55
3,SoA,56,0.609312,3524.44
3,SoA,57,0.608128,3531.30
3,SoA,58,0.608864,3527.03
3,SoA,59,0.604672,3551.48
3,SoA,60,0.608672,3528.14
3,SoA,61,0.607552,3534.65
3,SoA,62,0.606816,3538.93
3,SoA,63,0.608832,3527.22
3,SoA,64,0.607584,3534.46
3,SoA,65,0.608640,3528.33
3,SoA,66,0.607328,3535.95
3,SoA,67,0.607680,3533.90
3,SoA,68,0.609216,3524.99
3,SoA,69,0.608224,3530.74
3,SoA,70,0.607744,3533.53
3,SoA,71,0.608192,3530.93
3,SoA,72,0.607712,3533.72
3,SoA,73,0.608352,3530.00
3,SoA,74,0.606464,3540.99
