kernel,M,N,tile_rows,tile_cols,rep,time_ms,bw_gbs,checksum,status
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,0,5.080192,1690.868,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,1,5.072416,1693.460,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,2,5.071712,1693.695,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,3,5.072320,1693.492,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,4,5.072672,1693.375,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,5,5.070368,1694.144,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,6,5.071904,1693.631,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,7,5.071808,1693.663,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,8,5.072512,1693.428,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,9,5.070816,1693.995,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,10,5.072128,1693.556,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,11,5.071104,1693.898,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,12,5.070176,1694.208,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,13,5.072160,1693.546,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,14,5.072736,1693.353,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,15,5.070912,1693.963,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,16,5.071008,1693.930,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,17,5.072416,1693.460,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,18,5.072576,1693.407,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,19,5.071296,1693.834,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,20,5.070912,1693.963,2.681670e+09,PASS
"direct        BX=32  BY=1   TX=1  TY=1   tile=1x32",16384,16384,1,32,21,5.069248,1694.518,2.681670e+09,PASS
