variant,N,BX,BY,TX,TY,SB,PAD,med_time_ms,std_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw
naive,16384,32,8,1,8,32,1,4.3199,0.0313,482.2,497.1,503.9,14.1
blocked,16384,32,8,1,8,32,1,4.4702,0.0285,473.7,480.4,487.2,13.6
blocked,16384,32,8,1,8,64,1,4.3183,0.0349,479.9,497.3,503.6,14.1
blocked,16384,32,8,1,8,128,1,4.4723,0.0272,472.2,480.2,488.5,13.6
blocked,16384,32,8,1,8,256,1,4.4657,0.0266,474.1,480.9,487.5,13.6
smem,16384,32,8,1,8,32,1,0.8537,0.0390,2052.2,2515.4,2616.8,71.1
smem_blk,16384,32,8,1,8,32,1,0.8519,0.0459,1989.5,2520.7,2619.5,71.3
smem_blk,16384,32,8,1,8,64,1,0.8522,0.0467,1996.7,2520.0,2622.1,71.3
smem_blk,16384,32,8,1,8,128,1,0.8539,0.0408,2010.2,2514.8,2623.1,71.1
smem_blk,16384,32,8,1,8,256,1,0.8535,0.0409,2062.7,2516.0,2611.6,71.2
smem_pad,16384,32,8,1,8,32,1,0.8609,0.0119,2334.0,2494.4,2614.8,70.5
smem_swiz,16384,32,8,1,8,32,1,0.8769,0.0299,2266.4,2449.0,2633.5,69.3
smem_blk_swiz,16384,32,8,1,8,32,1,0.8780,0.0313,2319.7,2445.8,2641.4,69.2
smem_blk_swiz,16384,32,8,1,8,64,1,0.8261,0.0296,2342.6,2599.6,2721.5,73.5
smem_blk_swiz,16384,32,8,1,8,128,1,0.8299,0.0313,2326.3,2587.5,2720.7,73.2
smem_blk_swiz,16384,32,8,1,8,256,1,0.8251,0.0377,2108.8,2602.6,2749.9,73.6
smem_pad_blk,16384,32,8,1,8,32,1,0.8633,0.0108,2434.4,2487.6,2633.3,70.4
naive,16384,32,16,1,8,32,1,4.2869,0.0259,488.0,500.9,509.3,14.2
blocked,16384,32,16,1,8,32,1,4.1686,0.0277,498.8,515.2,522.1,14.6
blocked,16384,32,16,1,8,64,1,4.1639,0.0260,503.2,515.7,522.1,14.6
blocked,16384,32,16,1,8,128,1,4.1644,0.0266,498.8,515.7,524.3,14.6
blocked,16384,32,16,1,8,256,1,4.1697,0.0263,499.4,515.0,520.2,14.6
smem,16384,32,16,1,8,32,1,0.9031,0.0360,1927.0,2377.9,2468.8,67.3
smem_blk,16384,32,16,1,8,32,1,0.9028,0.0273,2093.2,2378.8,2459.7,67.3
smem_blk,16384,32,16,1,8,64,1,0.9014,0.0351,1982.4,2382.4,2466.9,67.4
smem_blk,16384,32,16,1,8,128,1,0.9027,0.0328,1980.6,2378.8,2455.6,67.3
smem_blk,16384,32,16,1,8,256,1,0.9024,0.0279,2087.3,2379.7,2461.6,67.3
smem_pad,16384,32,16,1,8,32,1,0.8835,0.0181,2172.4,2430.6,2446.2,68.7
smem_swiz,16384,32,16,1,8,32,1,0.8343,0.0226,2327.5,2573.9,2685.4,72.8
smem_blk_swiz,16384,32,16,1,8,32,1,0.8351,0.0248,2288.8,2571.5,2695.4,72.7
smem_blk_swiz,16384,32,16,1,8,64,1,0.8432,0.0302,2292.4,2546.8,2686.1,72.0
smem_blk_swiz,16384,32,16,1,8,128,1,0.8327,0.0299,2308.5,2579.0,2716.4,72.9
smem_blk_swiz,16384,32,16,1,8,256,1,0.8340,0.0261,2281.3,2575.0,2703.0,72.8
smem_pad_blk,16384,32,16,1,8,32,1,0.8926,0.0112,2309.3,2405.9,2436.4,68.0
naive,16384,32,8,2,4,32,1,3.5324,0.0607,576.0,607.9,626.9,17.2
blocked,16384,32,8,2,4,32,1,3.6091,0.0575,564.8,595.0,617.7,16.8
blocked,16384,32,8,2,4,64,1,3.5404,0.0645,578.3,606.6,629.7,17.2
blocked,16384,32,8,2,4,128,1,3.5085,0.0843,515.3,612.1,628.2,17.3
blocked,16384,32,8,2,4,256,1,3.5340,0.0601,582.1,607.7,629.0,17.2
smem,16384,32,8,2,4,32,1,0.8556,0.0403,1983.6,2509.8,2599.2,71.0
smem_blk,16384,32,8,2,4,32,1,0.8509,0.0412,2004.0,2523.8,2602.6,71.4
smem_blk,16384,32,8,2,4,64,1,0.8573,0.0413,1975.1,2505.0,2597.0,70.8
smem_blk,16384,32,8,2,4,128,1,0.8583,0.0382,2079.2,2502.1,2597.2,70.8
smem_blk,16384,32,8,2,4,256,1,0.8584,0.0403,2058.1,2501.8,2597.1,70.8
smem_pad,16384,32,8,2,4,32,1,0.8593,0.0119,2334.0,2499.0,2594.6,70.7
