backend,variant,nlev,nproma,cell_dist,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,omp_for,0,1.017315000
cpu,1,90,81920,uniform,omp_for,1,0.804235000
cpu,1,90,81920,uniform,omp_for,2,0.804255000
cpu,1,90,81920,uniform,omp_for,3,0.793995000
cpu,1,90,81920,uniform,omp_for,4,0.807115000
cpu,1,90,81920,uniform,omp_for,5,0.718134000
cpu,1,90,81920,uniform,omp_for,6,0.747624000
cpu,1,90,81920,uniform,omp_for,7,0.744004000
cpu,1,90,81920,uniform,omp_for,8,0.794264000
cpu,1,90,81920,uniform,omp_for,9,0.809875000
cpu,1,90,81920,uniform,omp_for,10,0.780525000
cpu,1,90,81920,uniform,omp_for,11,0.764335000
cpu,1,90,81920,uniform,omp_for,12,0.766665000
cpu,1,90,81920,uniform,omp_for,13,0.802945000
cpu,1,90,81920,uniform,omp_for,14,0.778094000
cpu,1,90,81920,uniform,omp_for,15,0.795495000
cpu,1,90,81920,uniform,omp_for,16,0.819064000
cpu,1,90,81920,uniform,omp_for,17,0.807434000
cpu,1,90,81920,uniform,omp_for,18,0.830235000
cpu,1,90,81920,uniform,omp_for,19,0.787514000
cpu,1,90,81920,uniform,omp_for,20,0.772625000
cpu,1,90,81920,uniform,omp_for,21,0.778915000
cpu,1,90,81920,uniform,omp_for,22,0.810595000
cpu,1,90,81920,uniform,omp_for,23,0.882036000
cpu,1,90,81920,uniform,omp_for,24,0.818605000
cpu,1,90,81920,uniform,omp_for,25,0.805335000
cpu,1,90,81920,uniform,omp_for,26,0.840695000
cpu,1,90,81920,uniform,omp_for,27,0.804975000
cpu,1,90,81920,uniform,omp_for,28,0.813025000
cpu,1,90,81920,uniform,omp_for,29,0.825004000
cpu,1,90,81920,uniform,omp_for,30,0.819595000
cpu,1,90,81920,uniform,omp_for,31,0.801255000
cpu,1,90,81920,uniform,omp_for,32,0.823615000
cpu,1,90,81920,uniform,omp_for,33,0.844245000
cpu,1,90,81920,uniform,omp_for,34,0.827475000
cpu,1,90,81920,uniform,omp_for,35,0.837975000
cpu,1,90,81920,uniform,omp_for,36,0.839905000
cpu,1,90,81920,uniform,omp_for,37,0.821535000
cpu,1,90,81920,uniform,omp_for,38,0.810865000
cpu,1,90,81920,uniform,omp_for,39,0.864135000
cpu,1,90,81920,uniform,omp_for,40,0.831625000
cpu,1,90,81920,uniform,omp_for,41,0.825265000
cpu,1,90,81920,uniform,omp_for,42,0.806905000
cpu,1,90,81920,uniform,omp_for,43,0.794425000
cpu,1,90,81920,uniform,omp_for,44,0.808754000
cpu,1,90,81920,uniform,omp_for,45,0.819365000
cpu,1,90,81920,uniform,omp_for,46,0.869075000
cpu,1,90,81920,uniform,omp_for,47,0.797705000
cpu,1,90,81920,uniform,omp_for,48,0.824374000
cpu,1,90,81920,uniform,omp_for,49,0.851124000
cpu,1,90,81920,uniform,omp_for,50,0.818665000
cpu,1,90,81920,uniform,omp_for,51,0.810885000
cpu,1,90,81920,uniform,omp_for,52,0.859185000
cpu,1,90,81920,uniform,omp_for,53,0.794825000
cpu,1,90,81920,uniform,omp_for,54,0.794085000
cpu,1,90,81920,uniform,omp_for,55,0.825805000
cpu,1,90,81920,uniform,omp_for,56,0.802445000
cpu,1,90,81920,uniform,omp_for,57,0.800325000
cpu,1,90,81920,uniform,omp_for,58,0.814554000
cpu,1,90,81920,uniform,omp_for,59,0.850966000
cpu,1,90,81920,uniform,omp_for,60,0.817835000
cpu,1,90,81920,uniform,omp_for,61,0.811575000
cpu,1,90,81920,uniform,omp_for,62,0.853275000
cpu,1,90,81920,uniform,omp_for,63,0.822005000
cpu,1,90,81920,uniform,omp_for,64,0.825244000
cpu,1,90,81920,uniform,omp_for,65,0.839235000
cpu,1,90,81920,uniform,omp_for,66,0.828875000
cpu,1,90,81920,uniform,omp_for,67,0.836294000
cpu,1,90,81920,uniform,omp_for,68,0.787954000
cpu,1,90,81920,uniform,omp_for,69,0.833775000
cpu,1,90,81920,uniform,omp_for,70,0.779175000
cpu,1,90,81920,uniform,omp_for,71,0.787615000
cpu,1,90,81920,uniform,omp_for,72,0.831395000
cpu,1,90,81920,uniform,omp_for,73,0.830735000
cpu,1,90,81920,uniform,omp_for,74,0.820645000
cpu,1,90,81920,uniform,omp_for,75,0.843585000
cpu,1,90,81920,uniform,omp_for,76,0.832925000
cpu,1,90,81920,uniform,omp_for,77,0.797025000
cpu,1,90,81920,uniform,omp_for,78,0.818174000
cpu,1,90,81920,uniform,omp_for,79,0.845095000
cpu,1,90,81920,uniform,omp_for,80,0.819105000
cpu,1,90,81920,uniform,omp_for,81,0.810604000
cpu,1,90,81920,uniform,omp_for,82,0.840894000
cpu,1,90,81920,uniform,omp_for,83,0.840514000
cpu,1,90,81920,uniform,omp_for,84,0.825924000
cpu,1,90,81920,uniform,omp_for,85,0.850555000
cpu,1,90,81920,uniform,omp_for,86,0.808765000
cpu,1,90,81920,uniform,omp_for,87,0.805845000
cpu,1,90,81920,uniform,omp_for,88,0.854325000
cpu,1,90,81920,uniform,omp_for,89,0.806704000
cpu,1,90,81920,uniform,omp_for,90,0.826685000
cpu,1,90,81920,uniform,omp_for,91,0.826335000
cpu,1,90,81920,uniform,omp_for,92,0.822804000
cpu,1,90,81920,uniform,omp_for,93,0.780055000
cpu,1,90,81920,uniform,omp_for,94,0.748364000
cpu,1,90,81920,uniform,omp_for,95,0.805915000
cpu,1,90,81920,uniform,omp_for,96,0.815665000
cpu,1,90,81920,uniform,omp_for,97,0.817085000
cpu,1,90,81920,uniform,omp_for,98,0.853625000
cpu,1,90,81920,uniform,omp_for,99,0.821025000
cpu,1,90,81920,uniform,omp_collapse2,0,1.005576000
cpu,1,90,81920,uniform,omp_collapse2,1,0.825635000
cpu,1,90,81920,uniform,omp_collapse2,2,0.668704000
cpu,1,90,81920,uniform,omp_collapse2,3,0.638973000
cpu,1,90,81920,uniform,omp_collapse2,4,0.680395000
cpu,1,90,81920,uniform,omp_collapse2,5,0.631364000
cpu,1,90,81920,uniform,omp_collapse2,6,0.614343000
cpu,1,90,81920,uniform,omp_collapse2,7,0.639934000
cpu,1,90,81920,uniform,omp_collapse2,8,0.611024000
cpu,1,90,81920,uniform,omp_collapse2,9,0.612444000
cpu,1,90,81920,uniform,omp_collapse2,10,0.607394000
cpu,1,90,81920,uniform,omp_collapse2,11,0.678554000
cpu,1,90,81920,uniform,omp_collapse2,12,0.604373000
cpu,1,90,81920,uniform,omp_collapse2,13,0.602904000
cpu,1,90,81920,uniform,omp_collapse2,14,0.584134000
cpu,1,90,81920,uniform,omp_collapse2,15,0.619273000
cpu,1,90,81920,uniform,omp_collapse2,16,0.600514000
cpu,1,90,81920,uniform,omp_collapse2,17,0.584183000
cpu,1,90,81920,uniform,omp_collapse2,18,0.582393000
cpu,1,90,81920,uniform,omp_collapse2,19,0.670784000
cpu,1,90,81920,uniform,omp_collapse2,20,0.606653000
cpu,1,90,81920,uniform,omp_collapse2,21,0.608193000
