variant,rep,time_ms
3d-reduce-gpu,1,16.533000
3d-reduce-gpu,2,16.651000
3d-reduce-gpu,3,16.606000
3d-reduce-gpu,4,16.522000
3d-reduce-gpu,5,16.481000
3d-reduce-gpu,6,16.452000
3d-reduce-gpu,7,16.763000
3d-reduce-gpu,8,16.472000
3d-reduce-gpu,9,16.559000
3d-reduce-gpu,10,16.536000
3d-reduce-gpu,11,16.379000
3d-reduce-gpu,12,16.543000
3d-reduce-gpu,13,16.470000
3d-reduce-gpu,14,16.374000
3d-reduce-gpu,15,16.607000
3d-reduce-gpu,16,16.570000
3d-reduce-gpu,17,16.637000
3d-reduce-gpu,18,16.551000
3d-reduce-gpu,19,16.623000
3d-reduce-gpu,20,16.645000
3d-reduce-gpu,21,16.557000
3d-reduce-gpu,22,16.395000
3d-reduce-gpu,23,16.637000
3d-reduce-gpu,24,16.695000
3d-reduce-gpu,25,16.611000
3d-reduce-gpu,26,16.756000
3d-reduce-gpu,27,16.512000
3d-reduce-gpu,28,16.421000
3d-reduce-gpu,29,16.574000
3d-reduce-gpu,30,16.517000
3d-reduce-gpu,31,16.604000
3d-reduce-gpu,32,16.498000
3d-reduce-gpu,33,16.280000
3d-reduce-gpu,34,16.939000
3d-reduce-gpu,35,16.886000
3d-reduce-gpu,36,17.013000
3d-reduce-gpu,37,16.938000
3d-reduce-gpu,38,17.016000
3d-reduce-gpu,39,16.907000
3d-reduce-gpu,40,16.795000
3d-reduce-gpu,41,16.673000
3d-reduce-gpu,42,16.832000
3d-reduce-gpu,43,16.570000
3d-reduce-gpu,44,16.722000
3d-reduce-gpu,45,16.819000
3d-reduce-gpu,46,16.788000
3d-reduce-gpu,47,16.858000
3d-reduce-gpu,48,16.871000
3d-reduce-gpu,49,17.156000
3d-reduce-gpu,50,16.889000
3d-reduce-gpu,51,16.947000
3d-reduce-gpu,52,17.027000
3d-reduce-gpu,53,16.779000
3d-reduce-gpu,54,16.956000
3d-reduce-gpu,55,16.974000
3d-reduce-gpu,56,16.908000
3d-reduce-gpu,57,16.872000
3d-reduce-gpu,58,16.968000
3d-reduce-gpu,59,16.866000
3d-reduce-gpu,60,17.153000
3d-reduce-gpu,61,16.870000
3d-reduce-gpu,62,16.888000
3d-reduce-gpu,63,16.866000
3d-reduce-gpu,64,16.936000
3d-reduce-gpu,65,17.022000
3d-reduce-gpu,66,17.061000
3d-reduce-gpu,67,17.023000
3d-reduce-gpu,68,17.258000
3d-reduce-gpu,69,17.015000
3d-reduce-gpu,70,16.857000
3d-reduce-gpu,71,16.890000
3d-reduce-gpu,72,17.031000
3d-reduce-gpu,73,16.894000
3d-reduce-gpu,74,16.890000
3d-reduce-gpu,75,16.943000
3d-reduce-gpu,76,16.659000
3d-reduce-gpu,77,16.791000
3d-reduce-gpu,78,16.872000
3d-reduce-gpu,79,16.898000
3d-reduce-gpu,80,16.784000
3d-reduce-gpu,81,17.057000
3d-reduce-gpu,82,17.051000
3d-reduce-gpu,83,16.983000
3d-reduce-gpu,84,16.731000
3d-reduce-gpu,85,16.836000
3d-reduce-gpu,86,16.937000
3d-reduce-gpu,87,16.832000
3d-reduce-gpu,88,16.703000
3d-reduce-gpu,89,16.950000
3d-reduce-gpu,90,16.830000
3d-reduce-gpu,91,16.921000
3d-reduce-gpu,92,16.798000
3d-reduce-gpu,93,16.921000
3d-reduce-gpu,94,16.729000
3d-reduce-gpu,95,16.660000
3d-reduce-gpu,96,16.601000
3d-reduce-gpu,97,16.652000
3d-reduce-gpu,98,16.774000
3d-reduce-gpu,99,17.025000
3d-reduce-gpu,100,16.792000
