variant,rep,time_ms
3d-reduce-gpu,1,3.056000
3d-reduce-gpu,2,3.016000
3d-reduce-gpu,3,3.029000
3d-reduce-gpu,4,3.011000
3d-reduce-gpu,5,3.077000
3d-reduce-gpu,6,3.025000
3d-reduce-gpu,7,3.057000
3d-reduce-gpu,8,3.029000
3d-reduce-gpu,9,3.061000
3d-reduce-gpu,10,3.053000
3d-reduce-gpu,11,3.035000
3d-reduce-gpu,12,3.030000
3d-reduce-gpu,13,3.051000
3d-reduce-gpu,14,3.055000
3d-reduce-gpu,15,3.084000
3d-reduce-gpu,16,3.098000
3d-reduce-gpu,17,3.042000
3d-reduce-gpu,18,3.050000
3d-reduce-gpu,19,3.077000
3d-reduce-gpu,20,3.052000
3d-reduce-gpu,21,3.007000
3d-reduce-gpu,22,3.052000
3d-reduce-gpu,23,3.050000
3d-reduce-gpu,24,3.072000
3d-reduce-gpu,25,3.095000
3d-reduce-gpu,26,3.078000
3d-reduce-gpu,27,3.042000
3d-reduce-gpu,28,3.093000
3d-reduce-gpu,29,3.079000
3d-reduce-gpu,30,2.742000
3d-reduce-gpu,31,3.025000
3d-reduce-gpu,32,3.055000
3d-reduce-gpu,33,3.098000
3d-reduce-gpu,34,3.075000
3d-reduce-gpu,35,3.057000
3d-reduce-gpu,36,3.072000
3d-reduce-gpu,37,3.089000
3d-reduce-gpu,38,3.068000
3d-reduce-gpu,39,3.081000
3d-reduce-gpu,40,3.055000
3d-reduce-gpu,41,3.094000
3d-reduce-gpu,42,3.084000
3d-reduce-gpu,43,3.067000
3d-reduce-gpu,44,3.065000
3d-reduce-gpu,45,3.081000
3d-reduce-gpu,46,3.069000
3d-reduce-gpu,47,3.073000
3d-reduce-gpu,48,3.080000
3d-reduce-gpu,49,3.048000
3d-reduce-gpu,50,3.061000
3d-reduce-gpu,51,3.043000
3d-reduce-gpu,52,3.101000
3d-reduce-gpu,53,3.100000
3d-reduce-gpu,54,3.079000
3d-reduce-gpu,55,3.075000
3d-reduce-gpu,56,3.091000
3d-reduce-gpu,57,3.115000
3d-reduce-gpu,58,3.069000
3d-reduce-gpu,59,3.058000
3d-reduce-gpu,60,3.061000
3d-reduce-gpu,61,3.035000
3d-reduce-gpu,62,3.088000
3d-reduce-gpu,63,3.051000
3d-reduce-gpu,64,3.083000
3d-reduce-gpu,65,3.082000
3d-reduce-gpu,66,3.078000
3d-reduce-gpu,67,3.100000
3d-reduce-gpu,68,3.085000
3d-reduce-gpu,69,3.067000
3d-reduce-gpu,70,3.084000
3d-reduce-gpu,71,2.999000
3d-reduce-gpu,72,3.055000
3d-reduce-gpu,73,3.066000
3d-reduce-gpu,74,3.074000
3d-reduce-gpu,75,3.133000
3d-reduce-gpu,76,3.093000
3d-reduce-gpu,77,3.050000
3d-reduce-gpu,78,3.095000
3d-reduce-gpu,79,3.126000
3d-reduce-gpu,80,3.080000
3d-reduce-gpu,81,3.053000
3d-reduce-gpu,82,3.081000
3d-reduce-gpu,83,3.073000
3d-reduce-gpu,84,3.115000
3d-reduce-gpu,85,3.083000
3d-reduce-gpu,86,3.088000
3d-reduce-gpu,87,3.075000
3d-reduce-gpu,88,3.102000
3d-reduce-gpu,89,3.088000
3d-reduce-gpu,90,3.081000
3d-reduce-gpu,91,3.076000
3d-reduce-gpu,92,3.073000
3d-reduce-gpu,93,3.071000
3d-reduce-gpu,94,3.083000
3d-reduce-gpu,95,3.074000
3d-reduce-gpu,96,3.104000
3d-reduce-gpu,97,3.044000
3d-reduce-gpu,98,3.060000
3d-reduce-gpu,99,3.086000
3d-reduce-gpu,100,3.082000
