variant,experiment,ny,nx,tpb,coarsen,rep,time_ms
aos_scatter,qe,225001,110273,36,1,0,0.058889
aos_scatter,qe,225001,110273,36,1,1,0.045776
aos_scatter,qe,225001,110273,36,1,2,0.042915
aos_scatter,qe,225001,110273,36,1,3,0.044107
aos_scatter,qe,225001,110273,36,1,4,0.054836
aos_scatter,qe,225001,110273,36,1,5,0.051975
aos_scatter,qe,225001,110273,36,1,6,0.040054
aos_scatter,qe,225001,110273,36,1,7,0.036001
aos_scatter,qe,225001,110273,36,1,8,0.034094
aos_scatter,qe,225001,110273,36,1,9,0.037909
aos_scatter,qe,225001,110273,36,1,10,0.036001
aos_scatter,qe,225001,110273,36,1,11,0.035048
aos_scatter,qe,225001,110273,36,1,12,0.036001
aos_scatter,qe,225001,110273,36,1,13,0.034094
aos_scatter,qe,225001,110273,36,1,14,0.036001
aos_scatter,qe,225001,110273,36,1,15,0.034809
aos_scatter,qe,225001,110273,36,1,16,0.032902
aos_scatter,qe,225001,110273,36,1,17,0.036955
aos_scatter,qe,225001,110273,36,1,18,0.036001
aos_scatter,qe,225001,110273,36,1,19,0.033855
aos_scatter,qe,225001,110273,36,1,20,0.036955
aos_scatter,qe,225001,110273,36,1,21,0.034094
aos_scatter,qe,225001,110273,36,1,22,0.036955
aos_scatter,qe,225001,110273,36,1,23,0.034809
aos_scatter,qe,225001,110273,36,1,24,0.032902
aos_scatter,qe,225001,110273,36,1,25,0.038147
aos_scatter,qe,225001,110273,36,1,26,0.037193
aos_scatter,qe,225001,110273,36,1,27,0.036001
aos_scatter,qe,225001,110273,36,1,28,0.040054
aos_scatter,qe,225001,110273,36,1,29,0.032902
aos_scatter,qe,225001,110273,36,1,30,0.036955
aos_scatter,qe,225001,110273,36,1,31,0.034094
aos_scatter,qe,225001,110273,36,1,32,0.033140
aos_scatter,qe,225001,110273,36,1,33,0.035048
aos_scatter,qe,225001,110273,36,1,34,0.034094
aos_scatter,qe,225001,110273,36,1,35,0.036001
aos_scatter,qe,225001,110273,36,1,36,0.033140
aos_scatter,qe,225001,110273,36,1,37,0.036001
aos_scatter,qe,225001,110273,36,1,38,0.037909
aos_scatter,qe,225001,110273,36,1,39,0.033855
aos_scatter,qe,225001,110273,36,1,40,0.036955
aos_scatter,qe,225001,110273,36,1,41,0.031948
aos_scatter,qe,225001,110273,36,1,42,0.038862
aos_scatter,qe,225001,110273,36,1,43,0.037909
aos_scatter,qe,225001,110273,36,1,44,0.032902
aos_scatter,qe,225001,110273,36,1,45,0.036001
aos_scatter,qe,225001,110273,36,1,46,0.033855
aos_scatter,qe,225001,110273,36,1,47,0.033140
aos_scatter,qe,225001,110273,36,1,48,0.035048
aos_scatter,qe,225001,110273,36,1,49,0.034094
aos_scatter,qe,225001,110273,36,1,50,0.037909
aos_scatter,qe,225001,110273,36,1,51,0.033140
aos_scatter,qe,225001,110273,36,1,52,0.033140
aos_scatter,qe,225001,110273,36,1,53,0.035048
aos_scatter,qe,225001,110273,36,1,54,0.034809
aos_scatter,qe,225001,110273,36,1,55,0.037193
aos_scatter,qe,225001,110273,36,1,56,0.033855
aos_scatter,qe,225001,110273,36,1,57,0.036001
aos_scatter,qe,225001,110273,36,1,58,0.036001
aos_scatter,qe,225001,110273,36,1,59,0.032902
aos_scatter,qe,225001,110273,36,1,60,0.037193
aos_scatter,qe,225001,110273,36,1,61,0.033140
aos_scatter,qe,225001,110273,36,1,62,0.032902
aos_scatter,qe,225001,110273,36,1,63,0.035048
aos_scatter,qe,225001,110273,36,1,64,0.031948
aos_scatter,qe,225001,110273,36,1,65,0.037193
aos_scatter,qe,225001,110273,36,1,66,0.037909
aos_scatter,qe,225001,110273,36,1,67,0.032902
aos_scatter,qe,225001,110273,36,1,68,0.038862
aos_scatter,qe,225001,110273,36,1,69,0.033140
aos_scatter,qe,225001,110273,36,1,70,0.036001
aos_scatter,qe,225001,110273,36,1,71,0.033855
aos_scatter,qe,225001,110273,36,1,72,0.033140
aos_scatter,qe,225001,110273,36,1,73,0.038862
aos_scatter,qe,225001,110273,36,1,74,0.036955
aos_scatter,qe,225001,110273,36,1,75,0.036001
aos_scatter,qe,225001,110273,36,1,76,0.038147
aos_scatter,qe,225001,110273,36,1,77,0.034094
aos_scatter,qe,225001,110273,36,1,78,0.036955
aos_scatter,qe,225001,110273,36,1,79,0.033855
aos_scatter,qe,225001,110273,36,1,80,0.036001
aos_scatter,qe,225001,110273,36,1,81,0.040054
aos_scatter,qe,225001,110273,36,1,82,0.033140
aos_scatter,qe,225001,110273,36,1,83,0.036955
aos_scatter,qe,225001,110273,36,1,84,0.034094
aos_scatter,qe,225001,110273,36,1,85,0.034094
aos_scatter,qe,225001,110273,36,1,86,0.037909
aos_scatter,qe,225001,110273,36,1,87,0.032902
aos_scatter,qe,225001,110273,36,1,88,0.040054
aos_scatter,qe,225001,110273,36,1,89,0.032902
aos_scatter,qe,225001,110273,36,1,90,0.035048
aos_scatter,qe,225001,110273,36,1,91,0.039816
aos_scatter,qe,225001,110273,36,1,92,0.034094
aos_scatter,qe,225001,110273,36,1,93,0.038147
aos_scatter,qe,225001,110273,36,1,94,0.040054
aos_scatter,qe,225001,110273,36,1,95,0.031948
aos_scatter,qe,225001,110273,36,1,96,0.036955
aos_scatter,qe,225001,110273,36,1,97,0.033855
aos_scatter,qe,225001,110273,36,1,98,0.036955
aos_scatter,qe,225001,110273,36,1,99,0.034094
aos_sorted,qe,225001,110273,36,1,0,0.015974
aos_sorted,qe,225001,110273,36,1,1,0.030041
aos_sorted,qe,225001,110273,36,1,2,0.032187
aos_sorted,qe,225001,110273,36,1,3,0.025988
aos_sorted,qe,225001,110273,36,1,4,0.036001
aos_sorted,qe,225001,110273,36,1,5,0.025034
aos_sorted,qe,225001,110273,36,1,6,0.023127
aos_sorted,qe,225001,110273,36,1,7,0.037909
aos_sorted,qe,225001,110273,36,1,8,0.021219
aos_sorted,qe,225001,110273,36,1,9,0.034094
aos_sorted,qe,225001,110273,36,1,10,0.061035
aos_sorted,qe,225001,110273,36,1,11,0.025034
aos_sorted,qe,225001,110273,36,1,12,0.036001
aos_sorted,qe,225001,110273,36,1,13,0.022173
aos_sorted,qe,225001,110273,36,1,14,0.035048
aos_sorted,qe,225001,110273,36,1,15,0.036955
aos_sorted,qe,225001,110273,36,1,16,0.025988
aos_sorted,qe,225001,110273,36,1,17,0.036001
aos_sorted,qe,225001,110273,36,1,18,0.026941
aos_sorted,qe,225001,110273,36,1,19,0.033855
aos_sorted,qe,225001,110273,36,1,20,0.032187
