n,mode,variant,block_size,tile_size,run,time_us
16384,5,cblas_rm,0,0,0,21259.65
16384,5,cblas_rm,0,0,1,21311.97
16384,5,cblas_rm,0,0,2,21135.68
16384,5,cblas_rm,0,0,3,21131.87
16384,5,cblas_rm,0,0,4,21384.25
16384,5,cblas_rm,0,0,5,20998.98
16384,5,cblas_rm,0,0,6,21332.92
16384,5,cblas_rm,0,0,7,21263.61
16384,5,cblas_rm,0,0,8,21090.72
16384,5,cblas_rm,0,0,9,21383.35
16384,5,cblas_rm,0,0,10,21402.36
16384,5,cblas_rm,0,0,11,21345.12
16384,5,cblas_rm,0,0,12,21508.12
16384,5,cblas_rm,0,0,13,21223.04
16384,5,cblas_rm,0,0,14,21370.43
16384,5,cblas_rm,0,0,15,21606.00
16384,5,cblas_rm,0,0,16,21432.38
16384,5,cblas_rm,0,0,17,20938.44
16384,5,cblas_rm,0,0,18,21517.62
16384,5,cblas_rm,0,0,19,21484.28
16384,5,cblas_rm,0,0,20,21291.81
16384,5,cblas_rm,0,0,21,21458.52
16384,5,cblas_rm,0,0,22,21269.79
16384,5,cblas_rm,0,0,23,21275.55
16384,5,cblas_rm,0,0,24,21314.53
16384,5,cblas_rm,0,0,25,21539.32
16384,5,cblas_rm,0,0,26,21199.68
16384,5,cblas_rm,0,0,27,21640.47
16384,5,cblas_rm,0,0,28,21922.09
16384,5,cblas_rm,0,0,29,21713.24
16384,5,cblas_rm,0,0,30,21578.33
16384,5,cblas_rm,0,0,31,21932.11
16384,5,cblas_rm,0,0,32,21596.37
16384,5,cblas_rm,0,0,33,21830.38
16384,5,cblas_rm,0,0,34,22624.06
16384,5,cblas_rm,0,0,35,22513.66
16384,5,cblas_rm,0,0,36,21979.21
16384,5,cblas_rm,0,0,37,22428.77
16384,5,cblas_rm,0,0,38,22014.15
16384,5,cblas_rm,0,0,39,22235.59
16384,5,cblas_rm,0,0,40,22566.14
16384,5,cblas_rm,0,0,41,22669.59
16384,5,cblas_rm,0,0,42,22319.65
16384,5,cblas_rm,0,0,43,22631.93
16384,5,cblas_rm,0,0,44,22660.73
16384,5,cblas_cm,0,0,0,73383.96
16384,5,cblas_cm,0,0,1,75927.92
16384,5,cblas_cm,0,0,2,73981.16
16384,5,cblas_cm,0,0,3,74733.62
16384,5,cblas_cm,0,0,4,74465.40
16384,5,cblas_cm,0,0,5,73855.24
16384,5,cblas_cm,0,0,6,72954.63
16384,5,cblas_cm,0,0,7,73167.58
16384,5,cblas_cm,0,0,8,73215.32
16384,5,cblas_cm,0,0,9,72997.57
16384,5,cblas_cm,0,0,10,73704.14
16384,5,cblas_cm,0,0,11,73296.44
16384,5,cblas_cm,0,0,12,74136.48
16384,5,cblas_cm,0,0,13,72885.35
16384,5,cblas_cm,0,0,14,71171.44
16384,5,cblas_cm,0,0,15,72621.71
16384,5,cblas_cm,0,0,16,70978.30
16384,5,cblas_cm,0,0,17,70516.36
16384,5,cblas_cm,0,0,18,71107.99
16384,5,cblas_cm,0,0,19,70860.54
16384,5,cblas_cm,0,0,20,70274.15
16384,5,cblas_cm,0,0,21,69914.23
16384,5,cblas_cm,0,0,22,69160.33
16384,5,cblas_cm,0,0,23,71284.21
16384,5,cblas_cm,0,0,24,72637.93
16384,5,cblas_cm,0,0,25,71257.52
16384,5,cblas_cm,0,0,26,69904.21
16384,5,cblas_cm,0,0,27,71772.13
16384,5,cblas_cm,0,0,28,72221.49
16384,5,cblas_cm,0,0,29,73901.38
16384,5,cblas_cm,0,0,30,70979.38
16384,5,cblas_cm,0,0,31,69843.29
16384,5,cblas_cm,0,0,32,68143.20
16384,5,cblas_cm,0,0,33,69318.53
16384,5,cblas_cm,0,0,34,68147.01
16384,5,cblas_cm,0,0,35,71070.90
16384,5,cblas_cm,0,0,36,68795.41
16384,5,cblas_cm,0,0,37,69404.32
16384,5,cblas_cm,0,0,38,68882.77
16384,5,cblas_cm,0,0,39,71665.89
16384,5,cblas_cm,0,0,40,67997.61
16384,5,cblas_cm,0,0,41,68980.82
16384,5,cblas_cm,0,0,42,67123.65
16384,5,cblas_cm,0,0,43,67338.33
16384,5,cblas_cm,0,0,44,66481.33
16384,1,A_row,0,0,0,89949.07
16384,1,A_row,0,0,1,91452.13
16384,1,A_row,0,0,2,91892.37
16384,1,A_row,0,0,3,92601.50
16384,1,A_row,0,0,4,92055.24
16384,1,A_row,0,0,5,91763.51
16384,1,A_row,0,0,6,90639.89
16384,1,A_row,0,0,7,90726.74
16384,1,A_row,0,0,8,91757.68
16384,1,A_row,0,0,9,90989.55
16384,1,A_row,0,0,10,91558.46
16384,1,A_row,0,0,11,91511.52
16384,1,A_row,0,0,12,94469.77
16384,1,A_row,0,0,13,91257.99
16384,1,A_row,0,0,14,91180.42
16384,1,A_row,0,0,15,91075.43
16384,1,A_row,0,0,16,92030.45
16384,1,A_row,0,0,17,90516.38
16384,1,A_row,0,0,18,91782.58
16384,1,A_row,0,0,19,91318.43
16384,1,A_row,0,0,20,91886.93
16384,1,A_row,0,0,21,91174.38
16384,1,A_row,0,0,22,91248.55
16384,1,A_row,0,0,23,94420.52
16384,1,A_row,0,0,24,91316.87
16384,1,A_row,0,0,25,92135.91
16384,1,A_row,0,0,26,91504.86
16384,1,A_row,0,0,27,94716.09
16384,1,A_row,0,0,28,94957.59
16384,1,A_row,0,0,29,90359.33
16384,1,A_row,0,0,30,90511.38
16384,1,A_row,0,0,31,92342.69
16384,1,A_row,0,0,32,91918.51
16384,1,A_row,0,0,33,90845.10
16384,1,A_row,0,0,34,91238.88
16384,1,A_row,0,0,35,90273.95
16384,1,A_row,0,0,36,90447.84
16384,1,A_row,0,0,37,90795.76
16384,1,A_row,0,0,38,90374.24
16384,1,A_row,0,0,39,90878.96
16384,1,A_row,0,0,40,91873.43
16384,1,A_row,0,0,41,91772.63
16384,1,A_row,0,0,42,93112.21
16384,1,A_row,0,0,43,92686.59
16384,1,A_row,0,0,44,91811.35
16384,1,A_col,0,0,0,84764.64
16384,1,A_col,0,0,1,84762.43
16384,1,A_col,0,0,2,85697.22
16384,1,A_col,0,0,3,86674.51
16384,1,A_col,0,0,4,85223.00
16384,1,A_col,0,0,5,137788.20
16384,1,A_col,0,0,6,83627.88
16384,1,A_col,0,0,7,85022.43
16384,1,A_col,0,0,8,85604.04
16384,1,A_col,0,0,9,85678.02
16384,1,A_col,0,0,10,86481.17
16384,1,A_col,0,0,11,86763.66
16384,1,A_col,0,0,12,85688.39
16384,1,A_col,0,0,13,85736.04
16384,1,A_col,0,0,14,85114.55
16384,1,A_col,0,0,15,84722.53
16384,1,A_col,0,0,16,85283.19
16384,1,A_col,0,0,17,86591.37
16384,1,A_col,0,0,18,89493.66
16384,1,A_col,0,0,19,85158.13
16384,1,A_col,0,0,20,86393.71
